user_country,friend_country,user_region,friend_region,scaled_sci
PL,RS,PL62,RS22,188
FR,DE,FRE2,DE26,563
DE,FR,DE26,FRE2,563
PT,IT,PT1C,ITH5,1313
IT,PT,ITH5,PT1C,1313
FR,DE,FRF2,DEB1,730
DE,FR,DEB1,FRF2,730
PL,BG,PL84,BG41,435
BG,PL,BG41,PL84,435
ME,BG,ME00,BG41,3466
BG,ME,BG41,ME00,3466
DE,BG,DE13,BG41,5295
BG,DE,BG41,DE13,5295
SE,RO,SE22,RO12,4752
RO,SE,RO12,SE22,4752
RO,DE,RO12,DE92,9278
DE,RO,DE92,RO12,9278
FR,BE,FRL0,BE22,1562
BE,FR,BE22,FRL0,1562
CH,BE,CH06,BE22,3711
BE,CH,BE22,CH06,3711
SK,NO,SK04,NO06,1145
NO,SK,NO06,SK04,1145
TR,DE,TR72,DE72,3735
DE,TR,DE72,TR72,3735
TR,AT,TR31,AT31,1571
AT,TR,AT31,TR31,1571
SE,DE,SE21,DE30,3943
DE,SE,DE30,SE21,3943
NL,DE,NL35,DE30,5757
DE,NL,DE30,NL35,5757
NL,DE,NL35,DE93,2507
DE,NL,DE93,NL35,2507
RO,DE,RO31,DE93,4132
DE,RO,DE93,RO31,4132
PL,PL,PL62,PL22,44986
PL,PL,PL22,PL62,44986
GR,DE,EL54,DE40,4943
DE,GR,DE40,EL54,4943
DE,DE,DE71,DE40,22357
DE,DE,DE40,DE71,22357
PL,DE,PL82,DE23,2183
DE,PL,DE23,PL82,2183
FI,AL,FI19,AL02,995
AL,FI,AL02,FI19,995
PL,AL,PL81,AL02,162
AL,PL,AL02,PL81,162
IT,FR,ITF6,FRY3,152
FR,IT,FRY3,ITF6,152
HU,BG,HU22,BG33,440
BG,HU,BG33,HU22,440
TR,NL,TR82,NL35,634
NL,TR,NL35,TR82,634
PL,NO,PL81,NO09,3306
NO,PL,NO09,PL81,3306
TR,FR,TRA1,FRI3,184
FR,TR,FRI3,TRA1,184
NO,HR,NO0A,HR06,1191
HR,NO,HR06,NO0A,1191
SE,HR,SE12,HR06,1181
HR,SE,HR06,SE12,1181
ES,CZ,ES12,CZ08,393
CZ,ES,CZ08,ES12,393
IT,CZ,ITF4,CZ08,328
CZ,IT,CZ08,ITF4,328
GR,EE,EL43,EE00,1324
EE,GR,EE00,EL43,1324
SK,FR,SK02,FRB0,236
FR,SK,FRB0,SK02,236
PL,ES,PL52,ES62,449
ES,PL,ES62,PL52,449
GR,GR,EL43,EL30,563300
GR,GR,EL30,EL43,563300
TR,ES,TR22,ES70,110
ES,TR,ES70,TR22,110
RS,DE,RS11,DE71,14961
DE,RS,DE71,RS11,14961
PL,DE,PL81,DE71,7048
DE,PL,DE71,PL81,7048
IT,HU,ITH5,HU12,735
HU,IT,HU12,ITH5,735
IE,FR,IE06,FRH0,1314
FR,IE,FRH0,IE06,1314
HU,GR,HU11,EL54,748
GR,HU,EL54,HU11,748
FR,DE,FRJ1,DE60,1285
DE,FR,DE60,FRJ1,1285
LT,GR,LT01,EL65,1017
GR,LT,EL65,LT01,1017
TR,BE,TRA1,BE25,133
BE,TR,BE25,TRA1,133
RS,AT,RS11,AT11,7313
AT,RS,AT11,RS11,7313
IE,ES,IE05,ES21,1400
ES,IE,ES21,IE05,1400
FR,ES,FRC2,ES21,807
ES,FR,ES21,FRC2,807
NL,NL,NL34,NL21,90756
NL,NL,NL21,NL34,90756
TR,NL,TR42,NL21,938
NL,TR,NL21,TR42,938
TR,DE,TR33,DE27,3906
DE,TR,DE27,TR33,3906
DE,DE,DE94,DE27,19988
DE,DE,DE27,DE94,19988
GR,GR,EL62,EL61,456629
GR,GR,EL61,EL62,456629
RO,NL,RO21,NL41,13541
NL,RO,NL41,RO21,13541
TR,NL,TR22,NL41,738
NL,TR,NL41,TR22,738
FI,CH,FI1D,CH06,2124
CH,FI,CH06,FI1D,2124
TR,TR,TR52,TR21,39134
TR,TR,TR21,TR52,39134
NL,DE,NL13,DED4,1706
DE,NL,DED4,NL13,1706
RO,DE,RO31,DED4,3115
DE,RO,DED4,RO31,3115
RO,IT,RO42,ITI1,6326
IT,RO,ITI1,RO42,6326
NL,FR,NL13,FRD1,871
FR,NL,FRD1,NL13,871
SK,GR,SK04,EL63,445
GR,SK,EL63,SK04,445
SK,GR,SK01,EL52,1745
GR,SK,EL52,SK01,1745
PL,GR,PL43,EL41,207
GR,PL,EL41,PL43,207
FR,AT,FRF2,AT13,1034
AT,FR,AT13,FRF2,1034
SK,IT,SK03,ITI4,456
IT,SK,ITI4,SK03,456
RO,PL,RO21,PL51,423
PL,RO,PL51,RO21,423
PL,DE,PL52,DE73,11120
DE,PL,DE73,PL52,11120
FI,BE,FI1D,BE34,393
BE,FI,BE34,FI1D,393
TR,BE,TR61,BE34,351
BE,TR,BE34,TR61,351
PL,FR,PL51,FRE2,368
FR,PL,FRE2,PL51,368
TR,IT,TR41,ITF2,128
IT,TR,ITF2,TR41,128
IT,CH,ITH4,CH04,9656
CH,IT,CH04,ITH4,9656
SK,CH,SK04,CH01,1940
CH,SK,CH01,SK04,1940
SK,CH,SK03,CH01,1970
CH,SK,CH01,SK03,1970
NO,DK,NO0A,DK05,14198
DK,NO,DK05,NO0A,14198
HU,DK,HU31,DK05,721
DK,HU,DK05,HU31,721
TR,MT,TR52,MT00,717
MT,TR,MT00,TR52,717
EE,DE,EE00,DEB3,1016
DE,EE,DEB3,EE00,1016
HR,FR,HR05,FR10,1406
FR,HR,FR10,HR05,1406
DK,CZ,DK05,CZ06,578
CZ,DK,CZ06,DK05,578
SK,FR,SK04,FRL0,318
FR,SK,FRL0,SK04,318
NO,AT,NO0A,AT21,1285
AT,NO,AT21,NO0A,1285
HU,CY,HU23,CY00,1467
CY,HU,CY00,HU23,1467
ES,CY,ES61,CY00,802
CY,ES,CY00,ES61,802
DE,AT,DE14,AT22,17226
AT,DE,AT22,DE14,17226
DE,AT,DE26,AT22,13384
AT,DE,AT22,DE26,13384
PT,FR,PT1B,FRC2,2546
FR,PT,FRC2,PT1B,2546
ME,HU,ME00,HU33,1489
HU,ME,HU33,ME00,1489
HU,ES,HU11,ES53,2875
ES,HU,ES53,HU11,2875
ES,DE,ES24,DE91,936
DE,ES,DE91,ES24,936
SE,DE,SE32,DE91,1338
DE,SE,DE91,SE32,1338
LT,ES,LT02,ES11,280
ES,LT,ES11,LT02,280
NO,BG,NO0B,BG32,1237
BG,NO,BG32,NO0B,1237
SE,ES,SE11,ES43,414
ES,SE,ES43,SE11,414
NO,DE,NO06,DE25,1187
DE,NO,DE25,NO06,1187
TR,DE,TR61,DE80,1546
DE,TR,DE80,TR61,1546
PT,PL,PT1A,PL42,548
PL,PT,PL42,PT1A,548
FR,CZ,FRL0,CZ07,329
CZ,FR,CZ07,FRL0,329
RS,NL,RS22,NL36,1311
NL,RS,NL36,RS22,1311
IT,BE,ITI2,BE21,1924
BE,IT,BE21,ITI2,1924
FR,BE,FRK2,BE21,2168
BE,FR,BE21,FRK2,2168
RO,RO,RO32,RO32,2320848
ES,AL,ES21,AL01,659
AL,ES,AL01,ES21,659
NO,AL,NO09,AL01,770
AL,NO,AL01,NO09,770
SE,AL,SE11,AL01,3042
AL,SE,AL01,SE11,3042
TR,DE,TRB1,DEG0,1406
DE,TR,DEG0,TRB1,1406
HR,DE,HR02,DEG0,2581
DE,HR,DEG0,HR02,2581
PT,NO,PT15,NO07,2434
NO,PT,NO07,PT15,2434
IT,GR,ITG1,EL64,922
GR,IT,EL64,ITG1,922
GR,DE,EL42,DE22,3233
DE,GR,DE22,EL42,3233
DK,DE,DK02,DE22,893
DE,DK,DE22,DK02,893
IT,BE,ITH2,BE33,2056
BE,IT,BE33,ITH2,2056
PL,ES,PL63,ES24,431
ES,PL,ES24,PL63,431
NO,IE,NO07,IE06,1517
IE,NO,IE06,NO07,1517
TR,RO,TR90,RO41,313
RO,TR,RO41,TR90,313
PT,IT,PT1D,ITH1,1116
IT,PT,ITH1,PT1D,1116
PT,HR,PT1D,HR05,1271
HR,PT,HR05,PT1D,1271
ES,BA,ES23,BA01,502
BA,ES,BA01,ES23,502
PT,CZ,PT1C,CZ02,501
CZ,PT,CZ02,PT1C,501
IT,CZ,ITI4,CZ02,684
CZ,IT,CZ02,ITI4,684
PT,NL,PT1C,NL23,5047
NL,PT,NL23,PT1C,5047
TR,PT,TR22,PT11,118
PT,TR,PT11,TR22,118
DE,BA,DE72,BA02,5571
BA,DE,BA02,DE72,5571
MK,DE,MK00,DE13,38146
DE,MK,DE13,MK00,38146
PL,GR,PL22,EL53,231
GR,PL,EL53,PL22,231
PL,GR,PL52,EL53,267
GR,PL,EL53,PL52,267
PL,DE,PL51,DE26,6304
DE,PL,DE26,PL51,6304
IT,FR,ITH4,FRJ1,1328
FR,IT,FRJ1,ITH4,1328
HU,FR,HU22,FRJ1,259
FR,HU,FRJ1,HU22,259
PL,FR,PL63,FRJ1,365
FR,PL,FRJ1,PL63,365
IT,DE,ITG1,DEB1,2560
DE,IT,DEB1,ITG1,2560
PT,DE,PT1D,DEB1,2340
DE,PT,DEB1,PT1D,2340
IT,CZ,ITH5,CZ01,2017
CZ,IT,CZ01,ITH5,2017
CH,BE,CH02,BE22,2665
BE,CH,BE22,CH02,2665
TR,GR,TR22,EL62,433
GR,TR,EL62,TR22,433
NO,DE,NO02,DE30,2083
DE,NO,DE30,NO02,2083
NL,BE,NL23,BE35,1484
BE,NL,BE35,NL23,1484
ES,DE,ES12,DEF0,603
DE,ES,DEF0,ES12,603
PL,PL,PL71,PL22,76365
PL,PL,PL22,PL71,76365
DE,BG,DED4,BG34,3384
BG,DE,BG34,DED4,3384
ME,HU,ME00,HU32,846
HU,ME,HU32,ME00,846
PL,HU,PL52,HU32,329
HU,PL,HU32,PL52,329
IT,HU,ITC1,HU32,357
HU,IT,HU32,ITC1,357
LU,IT,LU00,ITI2,13288
IT,LU,ITI2,LU00,13288
NL,IT,NL42,ITG1,1032
IT,NL,ITG1,NL42,1032
DE,BG,DEB2,BG33,5720
BG,DE,BG33,DEB2,5720
LT,BG,LT01,BG33,1181
BG,LT,BG33,LT01,1181
HU,ES,HU31,ES30,283
ES,HU,ES30,HU31,283
PT,NL,PT15,NL35,6020
NL,PT,NL35,PT15,6020
FR,DK,FRI3,DK02,280
DK,FR,DK02,FRI3,280
PL,DK,PL63,DK02,2787
DK,PL,DK02,PL63,2787
SE,HR,SE33,HR06,431
HR,SE,HR06,SE33,431
TR,CZ,TR62,CZ08,71
CZ,TR,CZ08,TR62,71
ES,CZ,ES23,CZ08,236
CZ,ES,CZ08,ES23,236
RO,LV,RO12,LV00,409
LV,RO,LV00,RO12,409
FR,EE,FRY1,EE00,161
EE,FR,EE00,FRY1,161
PL,EE,PL52,EE00,767
EE,PL,EE00,PL52,767
DE,DE,DE25,DE24,368792
DE,DE,DE24,DE25,368792
FR,FR,FRI2,FRB0,75203
FR,FR,FRB0,FRI2,75203
IT,ES,ITC3,ES62,2442
ES,IT,ES62,ITC3,2442
HU,ES,HU11,ES62,769
ES,HU,ES62,HU11,769
LV,GR,LV00,EL30,885
GR,LV,EL30,LV00,885
IT,GR,ITF4,EL42,2376
GR,IT,EL42,ITF4,2376
PL,GR,PL82,EL42,766
GR,PL,EL42,PL82,766
FR,GR,FRJ2,EL42,1064
GR,FR,EL42,FRJ2,1064
PL,DK,PL91,DK01,3643
DK,PL,DK01,PL91,3643
NL,FR,NL34,FRJ2,1181
FR,NL,FRJ2,NL34,1181
CH,AT,CH01,AT33,6916
AT,CH,AT33,CH01,6916
IT,AT,ITC2,AT33,5561
AT,IT,AT33,ITC2,5561
ES,DE,ES51,DE71,2464
